feedtype,feedurl
system_regions,https://api-core.bikeshare.ae/gbfs/en/system_regions.json
system_alerts,https://api-core.bikeshare.ae/gbfs/en/system_alerts.json
system_calendar,https://api-core.bikeshare.ae/gbfs/en/system_calendar.json
station_status,https://api-core.bikeshare.ae/gbfs/en/station_status.json
system_hours,https://api-core.bikeshare.ae/gbfs/en/system_hours.json
station_information,https://api-core.bikeshare.ae/gbfs/en/station_information.json
system_pricing_plans,https://api-core.bikeshare.ae/gbfs/en/system_pricing_plans.json
system_information,https://api-core.bikeshare.ae/gbfs/en/system_information.json
station_information,http://www.mibicitubici.gob.ar/opendata/station_information.json
station_status,http://www.mibicitubici.gob.ar/opendata/station_status.json
system_information,http://www.mibicitubici.gob.ar/opendata/system_information.json
free_bike_status,http://www.mibicitubici.gob.ar/opendata/free_bike_status.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_na/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_na/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_na/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_na/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_na/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_na/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ka/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ka/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ka/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ka/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_ka/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_ka/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_la/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_la/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_la/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_la/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_la/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_la/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ta/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ta/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ta/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ta/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_ta/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_ta/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_si/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_si/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_si/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_si/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_si/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_si/en/system_regions.json
gbfs,http://monashbikeshare.com/opendata/gbfs.json
system_information,http://monashbikeshare.com/opendata/system_information.json
station_information,http://monashbikeshare.com/opendata/station_information.json
station_status,http://monashbikeshare.com/opendata/station_status.json
free_bike_status,http://monashbikeshare.com/opendata/free_bike_status.json
system_hours,http://monashbikeshare.com/opendata/system_hours.json
system_calendar,http://monashbikeshare.com/opendata/system_calendar.json
system_regions,http://monashbikeshare.com/opendata/system_regions.json
system_pricing_plans,http://monashbikeshare.com/opendata/system_pricing_plans.json
system_alerts,http://monashbikeshare.com/opendata/system_alerts.json
system_information,http://aru.publicbikesystem.net/ube/gbfs/v1/en/system_information
station_information,http://aru.publicbikesystem.net/ube/gbfs/v1/en/station_information
station_status,http://aru.publicbikesystem.net/ube/gbfs/v1/en/station_status
system_pricing_plans,http://aru.publicbikesystem.net/ube/gbfs/v1/en/system_pricing_plans
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_bj/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_bj/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_bj/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_bj/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_bj/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_bj/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ba/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ba/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ba/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ba/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_ba/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_ba/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ct/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ct/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ct/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ct/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_ct/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_ct/en/system_regions.json
system_information,http://rec.publicbikesystem.net/ube/gbfs/v1/en/system_information
station_information,http://rec.publicbikesystem.net/ube/gbfs/v1/en/station_information
station_status,http://rec.publicbikesystem.net/ube/gbfs/v1/en/station_status
system_pricing_plans,http://rec.publicbikesystem.net/ube/gbfs/v1/en/system_pricing_plans
system_information,http://poa.publicbikesystem.net/ube/gbfs/v1/en/system_information
station_information,http://poa.publicbikesystem.net/ube/gbfs/v1/en/station_information
station_status,http://poa.publicbikesystem.net/ube/gbfs/v1/en/station_status
system_pricing_plans,http://poa.publicbikesystem.net/ube/gbfs/v1/en/system_pricing_plans
system_information,http://riodejaneiro.publicbikesystem.net/ube/gbfs/v1/en/system_information
station_information,http://riodejaneiro.publicbikesystem.net/ube/gbfs/v1/en/station_information
station_status,http://riodejaneiro.publicbikesystem.net/ube/gbfs/v1/en/station_status
system_pricing_plans,http://riodejaneiro.publicbikesystem.net/ube/gbfs/v1/en/system_pricing_plans
system_information,https://salvador.publicbikesystem.net/ube/gbfs/v1/en/system_information
station_information,https://salvador.publicbikesystem.net/ube/gbfs/v1/en/station_information
station_status,https://salvador.publicbikesystem.net/ube/gbfs/v1/en/station_status
system_pricing_plans,https://salvador.publicbikesystem.net/ube/gbfs/v1/en/system_pricing_plans
system_information,http://saopaulo.publicbikesystem.net/ube/gbfs/v1/en/system_information
station_information,http://saopaulo.publicbikesystem.net/ube/gbfs/v1/en/station_information
station_status,http://saopaulo.publicbikesystem.net/ube/gbfs/v1/en/station_status
system_pricing_plans,http://saopaulo.publicbikesystem.net/ube/gbfs/v1/en/system_pricing_plans
system_information,http://vilavelha.publicbikesystem.net/ube/gbfs/v1/en/system_information
station_information,http://vilavelha.publicbikesystem.net/ube/gbfs/v1/en/station_information
station_status,http://vilavelha.publicbikesystem.net/ube/gbfs/v1/en/station_status
system_pricing_plans,http://vilavelha.publicbikesystem.net/ube/gbfs/v1/en/system_pricing_plans
system_information,http://tor.publicbikesystem.net/ube/gbfs/v1/en/system_information
station_information,http://tor.publicbikesystem.net/ube/gbfs/v1/en/station_information
station_status,http://tor.publicbikesystem.net/ube/gbfs/v1/en/station_status
system_pricing_plans,http://tor.publicbikesystem.net/ube/gbfs/v1/en/system_pricing_plans
station_status,https://api-core.bixi.com/gbfs/en/station_status.json
station_information,https://api-core.bixi.com/gbfs/en/station_information.json
system_alerts,https://api-core.bixi.com/gbfs/en/system_alerts.json
system_information,https://api-core.bixi.com/gbfs/en/system_information.json
system_information,https://vancouver-gbfs.smoove.pro/gbfs/en/system_information.json
station_information,https://vancouver-gbfs.smoove.pro/gbfs/en/station_information.json
station_status,https://vancouver-gbfs.smoove.pro/gbfs/en/station_status.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ca/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ca/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ca/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ca/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_ca/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_ca/en/system_regions.json
gbfs,http://hamilton.socialbicycles.com/opendata/gbfs.json
system_information,http://hamilton.socialbicycles.com/opendata/system_information.json
station_information,http://hamilton.socialbicycles.com/opendata/station_information.json
station_status,http://hamilton.socialbicycles.com/opendata/station_status.json
free_bike_status,http://hamilton.socialbicycles.com/opendata/free_bike_status.json
system_hours,http://hamilton.socialbicycles.com/opendata/system_hours.json
system_calendar,http://hamilton.socialbicycles.com/opendata/system_calendar.json
system_regions,http://hamilton.socialbicycles.com/opendata/system_regions.json
system_pricing_plans,http://hamilton.socialbicycles.com/opendata/system_pricing_plans.json
system_alerts,http://hamilton.socialbicycles.com/opendata/system_alerts.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ch/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ch/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ch/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ch/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_ch/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_ch/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_cy/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_cy/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_cy/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_cy/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_cy/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_cy/en/system_regions.json
system_information,http://nicosia.publicbikesystem.net/ube/gbfs/v1/en/system_information
station_information,http://nicosia.publicbikesystem.net/ube/gbfs/v1/en/station_information
station_status,http://nicosia.publicbikesystem.net/ube/gbfs/v1/en/station_status
system_pricing_plans,http://nicosia.publicbikesystem.net/ube/gbfs/v1/en/system_pricing_plans
gbfs,http://velonet.cz/opendata/gbfs.json
system_information,http://velonet.cz/opendata/system_information.json
station_information,http://velonet.cz/opendata/station_information.json
station_status,http://velonet.cz/opendata/station_status.json
free_bike_status,http://velonet.cz/opendata/free_bike_status.json
system_hours,http://velonet.cz/opendata/system_hours.json
system_calendar,http://velonet.cz/opendata/system_calendar.json
system_regions,http://velonet.cz/opendata/system_regions.json
system_pricing_plans,http://velonet.cz/opendata/system_pricing_plans.json
system_alerts,http://velonet.cz/opendata/system_alerts.json
system_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_cb/en/system_information.json
station_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_cb/en/station_information.json
station_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_cb/en/station_status.json
free_bike_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_cb/en/free_bike_status.json
system_hours,https://germany.nextbike.net/maps/gbfs/v1/nextbike_cb/en/system_hours.json
system_regions,https://germany.nextbike.net/maps/gbfs/v1/nextbike_cb/en/system_regions.json
system_information,https://deezer.nextbike.net/maps/gbfs/v1/nextbike_bn/en/system_information.json
station_information,https://deezer.nextbike.net/maps/gbfs/v1/nextbike_bn/en/station_information.json
station_status,https://deezer.nextbike.net/maps/gbfs/v1/nextbike_bn/en/station_status.json
free_bike_status,https://deezer.nextbike.net/maps/gbfs/v1/nextbike_bn/en/free_bike_status.json
system_hours,https://deezer.nextbike.net/maps/gbfs/v1/nextbike_bn/en/system_hours.json
system_regions,https://deezer.nextbike.net/maps/gbfs/v1/nextbike_bn/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_eg/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_eg/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_eg/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_eg/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_eg/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_eg/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_fg/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_fg/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_fg/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_fg/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_fg/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_fg/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_kg/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_kg/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_kg/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_kg/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_kg/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_kg/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_mr/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_mr/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_mr/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_mr/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_mr/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_mr/en/system_regions.json
system_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ef/en/system_information.json
station_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ef/en/station_information.json
station_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ef/en/station_status.json
free_bike_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ef/en/free_bike_status.json
system_hours,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ef/en/system_hours.json
system_regions,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ef/en/system_regions.json
system_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_de/en/system_information.json
station_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_de/en/station_information.json
station_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_de/en/station_status.json
free_bike_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_de/en/free_bike_status.json
system_hours,https://germany.nextbike.net/maps/gbfs/v1/nextbike_de/en/system_hours.json
system_regions,https://germany.nextbike.net/maps/gbfs/v1/nextbike_de/en/system_regions.json
system_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ng/en/system_information.json
station_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ng/en/station_information.json
station_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ng/en/station_status.json
free_bike_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ng/en/free_bike_status.json
system_hours,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ng/en/system_hours.json
system_regions,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ng/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_dk/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_dk/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_dk/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_dk/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_dk/en/system_hours.json
